ward,typology,avg_rent_ksh,median_rent_ksh
Kahawa,townhouse,102400.0,97280.0
Kahawa,bungalow,121600.0,115520.0
Kahawa West,studio,26250.0,24938.0
Kahawa West,one bedroom,35000.0,33250.0
Kahawa West,two bedroom,50750.0,48212.0
Kahawa West,three bedroom,73500.0,69825.0
Kahawa West,townhouse,112000.0,106400.0
Kahawa West,bungalow,133000.0,126350.0
Kangemi,studio,22500.0,21375.0
Kangemi,one bedroom,30000.0,28500.0
Kangemi,two bedroom,43500.0,41325.0
Kangemi,three bedroom,63000.0,59850.0
Kangemi,townhouse,96000.0,91200.0
Kangemi,bungalow,114000.0,108300.0
Karen,studio,62400.0,59280.0
Karen,one bedroom,83200.0,79040.0
Karen,two bedroom,120640.0,114608.0
Karen,three bedroom,174720.0,165984.0
Karen,townhouse,266240.0,252928.0
Karen,bungalow,316160.0,300352.0
Kariobangi North,studio,24000.0,22800.0
Kariobangi North,one bedroom,32000.0,30400.0
Kariobangi North,two bedroom,46400.0,44080.0
Kariobangi North,three bedroom,67200.0,63840.0
Kariobangi North,townhouse,102400.0,97280.0
Kariobangi North,bungalow,121600.0,115520.0
Kariobangi South,studio,24000.0,22800.0
Kariobangi South,one bedroom,32000.0,30400.0
Kariobangi South,two bedroom,46400.0,44080.0
Kariobangi South,three bedroom,67200.0,63840.0
Kariobangi South,townhouse,102400.0,97280.0
Kariobangi South,bungalow,121600.0,115520.0
Karura,studio,54375.0,51656.0
Karura,one bedroom,72500.0,68875.0
Karura,two bedroom,105125.0,99869.0
Karura,three bedroom,152250.0,144638.0
Karura,townhouse,232000.0,220400.0
Karura,bungalow,275500.0,261725.0
Kasarani,studio,24750.0,23512.0
Kasarani,one bedroom,33000.0,31350.0
Kasarani,two bedroom,47850.0,45458.0
Kasarani,three bedroom,69300.0,65835.0
Kasarani,townhouse,105600.0,100320.0
Kasarani,bungalow,125400.0,119130.0
Kawangware,studio,24000.0,22800.0
Kawangware,one bedroom,32000.0,30400.0
Kawangware,two bedroom,46400.0,44080.0
Kawangware,three bedroom,67200.0,63840.0
Kawangware,townhouse,102400.0,97280.0
Kawangware,bungalow,121600.0,115520.0
Kayole Central,studio,24000.0,22800.0
Kayole Central,one bedroom,32000.0,30400.0
Kayole Central,two bedroom,46400.0,44080.0
Kayole Central,three bedroom,67200.0,63840.0
Kayole Central,townhouse,102400.0,97280.0
Kayole Central,bungalow,121600.0,115520.0
Kayole North,studio,24000.0,22800.0
Kayole North,one bedroom,32000.0,30400.0
Kayole North,two bedroom,46400.0,44080.0
Kayole North,three bedroom,67200.0,63840.0
Kayole North,townhouse,102400.0,97280.0
Kayole North,bungalow,121600.0,115520.0
Kayole South,studio,24000.0,22800.0
Kayole South,one bedroom,32000.0,30400.0
Kayole South,two bedroom,46400.0,44080.0
Kayole South,three bedroom,67200.0,63840.0
Kayole South,townhouse,102400.0,97280.0
Kayole South,bungalow,121600.0,115520.0
Kiamaiko,studio,24000.0,22800.0
Kiamaiko,one bedroom,32000.0,30400.0
Kiamaiko,two bedroom,46400.0,44080.0
Kiamaiko,three bedroom,67200.0,63840.0
Kiamaiko,townhouse,102400.0,97280.0
Kiamaiko,bungalow,121600.0,115520.0
Kileleshwa,studio,51300.0,48735.0
Kileleshwa,one bedroom,68400.0,64980.0
Kileleshwa,two bedroom,99180.0,94221.0
Kileleshwa,three bedroom,143640.0,136458.0
Kileleshwa,townhouse,218880.0,207936.0
Kileleshwa,bungalow,259920.0,246924.0
Kilimani,studio,56250.0,53438.0
Kilimani,one bedroom,75000.0,71250.0
Kilimani,two bedroom,108750.0,103312.0
Kilimani,three bedroom,157500.0,149625.0
Kilimani,townhouse,240000.0,228000.0
Kilimani,bungalow,285000.0,270750.0
Kitisuru,studio,62775.0,59636.0
Kitisuru,one bedroom,83700.0,79515.0
Kitisuru,two bedroom,121365.0,115297.0
Kitisuru,three bedroom,175770.0,166982.0
Kitisuru,townhouse,267840.0,254448.0
Kitisuru,bungalow,318060.0,302157.0
Komarock,studio,24000.0,22800.0
Komarock,one bedroom,32000.0,30400.0
Komarock,two bedroom,46400.0,44080.0
Komarock,three bedroom,67200.0,63840.0
Komarock,townhouse,102400.0,97280.0
Komarock,bungalow,121600.0,115520.0
Korogocho,studio,14145.0,13438.0
Korogocho,one bedroom,18860.0,17917.0
Korogocho,two bedroom,27347.0,25980.0
Korogocho,three bedroom,39606.0,37626.0
Korogocho,townhouse,60352.0,57334.0
Korogocho,bungalow,71668.0,68085.0
Kwa Njenga,studio,24000.0,22800.0
Kwa Njenga,one bedroom,32000.0,30400.0
Kwa Njenga,two bedroom,46400.0,44080.0
Kwa Njenga,three bedroom,67200.0,63840.0
Kwa Njenga,townhouse,102400.0,97280.0
Kwa Njenga,bungalow,121600.0,115520.0
Kwa Reuben,studio,24000.0,22800.0
Kwa Reuben,one bedroom,32000.0,30400.0
Kwa Reuben,two bedroom,46400.0,44080.0
Kwa Reuben,three bedroom,67200.0,63840.0
Kwa Reuben,townhouse,102400.0,97280.0
Kwa Reuben,bungalow,121600.0,115520.0
Kware,studio,24000.0,22800.0
Kware,one bedroom,32000.0,30400.0
Kware,two bedroom,46400.0,44080.0
Kware,three bedroom,67200.0,63840.0
Kware,townhouse,102400.0,97280.0
Kware,bungalow,121600.0,115520.0
Laini Saba,studio,24000.0,22800.0
Laini Saba,one bedroom,32000.0,30400.0
Laini Saba,two bedroom,46400.0,44080.0
Laini Saba,three bedroom,67200.0,63840.0
Laini Saba,townhouse,102400.0,97280.0
Laini Saba,bungalow,121600.0,115520.0
Landimawe,studio,24000.0,22800.0
Landimawe,one bedroom,32000.0,30400.0
Landimawe,two bedroom,46400.0,44080.0
Landimawe,three bedroom,67200.0,63840.0
Landimawe,townhouse,102400.0,97280.0
Landimawe,bungalow,121600.0,115520.0
Lindi,studio,24000.0,22800.0
Lindi,one bedroom,32000.0,30400.0
Lindi,two bedroom,46400.0,44080.0
Lindi,three bedroom,67200.0,63840.0
Lindi,townhouse,102400.0,97280.0
Lindi,bungalow,121600.0,115520.0
Lower Savannah,studio,24000.0,22800.0
Lower Savannah,one bedroom,32000.0,30400.0
Lower Savannah,two bedroom,46400.0,44080.0
Lower Savannah,three bedroom,67200.0,63840.0
Lower Savannah,townhouse,102400.0,97280.0
Lower Savannah,bungalow,121600.0,115520.0
Lucky Summer,studio,24000.0,22800.0
Lucky Summer,one bedroom,32000.0,30400.0
Lucky Summer,two bedroom,46400.0,44080.0
Lucky Summer,three bedroom,67200.0,63840.0
Lucky Summer,townhouse,102400.0,97280.0
Lucky Summer,bungalow,121600.0,115520.0
Mabatini,studio,13200.0,12540.0
Mabatini,one bedroom,17600.0,16720.0
Mabatini,two bedroom,25520.0,24244.0
Mabatini,three bedroom,36960.0,35112.0
Mabatini,townhouse,56320.0,53504.0
Mabatini,bungalow,66880.0,63536.0
Makina,studio,24000.0,22800.0
Makina,one bedroom,32000.0,30400.0
Makina,two bedroom,46400.0,44080.0
Makina,three bedroom,67200.0,63840.0
Makina,townhouse,102400.0,97280.0
Makina,bungalow,121600.0,115520.0
Makongeni,studio,24000.0,22800.0
Makongeni,one bedroom,32000.0,30400.0
Makongeni,two bedroom,46400.0,44080.0
Makongeni,three bedroom,67200.0,63840.0
Makongeni,townhouse,102400.0,97280.0
Makongeni,bungalow,121600.0,115520.0
Maringo/Hamza,studio,24000.0,22800.0
Maringo/Hamza,one bedroom,32000.0,30400.0
Maringo/Hamza,two bedroom,46400.0,44080.0
Maringo/Hamza,three bedroom,67200.0,63840.0
Maringo/Hamza,townhouse,102400.0,97280.0
Maringo/Hamza,bungalow,121600.0,115520.0
Mathare North,studio,24000.0,22800.0
Mathare North,one bedroom,32000.0,30400.0
Mathare North,two bedroom,46400.0,44080.0
Mathare North,three bedroom,67200.0,63840.0
Mathare North,townhouse,102400.0,97280.0
Mathare North,bungalow,121600.0,115520.0
Matopeni,studio,24000.0,22800.0
Matopeni,one bedroom,32000.0,30400.0
Matopeni,two bedroom,46400.0,44080.0
Matopeni,three bedroom,67200.0,63840.0
Matopeni,townhouse,102400.0,97280.0
Matopeni,bungalow,121600.0,115520.0
Mihango,studio,24000.0,22800.0
Mihango,one bedroom,32000.0,30400.0
Mihango,two bedroom,46400.0,44080.0
Mihango,three bedroom,67200.0,63840.0
Mihango,townhouse,102400.0,97280.0
Mihango,bungalow,121600.0,115520.0
Mlango Kubwa,studio,24000.0,22800.0
Mlango Kubwa,one bedroom,32000.0,30400.0
Mlango Kubwa,two bedroom,46400.0,44080.0
Mlango Kubwa,three bedroom,67200.0,63840.0
Mlango Kubwa,townhouse,102400.0,97280.0
Mlango Kubwa,bungalow,121600.0,115520.0
Mountain View,studio,24000.0,22800.0
Mountain View,one bedroom,32000.0,30400.0
Mountain View,two bedroom,46400.0,44080.0
Mountain View,three bedroom,67200.0,63840.0
Mountain View,townhouse,102400.0,97280.0
Mountain View,bungalow,121600.0,115520.0
Mowlem,studio,22500.0,21375.0
Mowlem,one bedroom,30000.0,28500.0
Mowlem,two bedroom,43500.0,41325.0
Mowlem,three bedroom,63000.0,59850.0
Mowlem,townhouse,96000.0,91200.0
Mowlem,bungalow,114000.0,108300.0
Mugumo-Ini,studio,24000.0,22800.0
Mugumo-Ini,one bedroom,32000.0,30400.0
Mugumo-Ini,two bedroom,46400.0,44080.0
Mugumo-Ini,three bedroom,67200.0,63840.0
Mugumo-Ini,townhouse,102400.0,97280.0
Mugumo-Ini,bungalow,121600.0,115520.0
Mutuini,studio,24000.0,22800.0
Mutuini,one bedroom,32000.0,30400.0
Mutuini,two bedroom,46400.0,44080.0
Mutuini,three bedroom,67200.0,63840.0
Mutuini,townhouse,102400.0,97280.0
Mutuini,bungalow,121600.0,115520.0
Mwiki,studio,24000.0,22800.0
Mwiki,one bedroom,32000.0,30400.0
Mwiki,two bedroom,46400.0,44080.0
Mwiki,three bedroom,67200.0,63840.0
Mwiki,townhouse,102400.0,97280.0
Mwiki,bungalow,121600.0,115520.0
Nairobi Central,studio,44850.0,42607.0
Nairobi Central,one bedroom,59800.0,56810.0
Nairobi Central,two bedroom,86710.0,82374.0
Nairobi Central,three bedroom,125580.0,119301.0
Nairobi Central,townhouse,191360.0,181792.0
Nairobi Central,bungalow,227240.0,215878.0
Nairobi South,studio,33750.0,32062.0
Nairobi South,one bedroom,45000.0,42750.0
Nairobi South,two bedroom,65250.0,61988.0
Nairobi South,three bedroom,94500.0,89775.0
Nairobi South,townhouse,144000.0,136800.0
Nairobi South,bungalow,171000.0,162450.0
Nairobi West,studio,32250.0,30638.0
Nairobi West,one bedroom,43000.0,40850.0
Nairobi West,two bedroom,62350.0,59232.0
Nairobi West,three bedroom,90300.0,85785.0
Nairobi West,townhouse,137600.0,130720.0
Nairobi West,bungalow,163400.0,155230.0
Ngando,studio,24000.0,22800.0
Ngando,one bedroom,32000.0,30400.0
Ngando,two bedroom,46400.0,44080.0
Ngando,three bedroom,67200.0,63840.0
Ngando,townhouse,102400.0,97280.0
Ngando,bungalow,121600.0,115520.0
Ngara,studio,33000.0,31350.0
Ngara,one bedroom,44000.0,41800.0
Ngara,two bedroom,63800.0,60610.0
Ngara,three bedroom,92400.0,87780.0
Ngara,townhouse,140800.0,133760.0
Ngara,bungalow,167200.0,158840.0
Ngei,studio,24000.0,22800.0
Ngei,one bedroom,32000.0,30400.0
Ngei,two bedroom,46400.0,44080.0
Ngei,three bedroom,67200.0,63840.0
Ngei,townhouse,102400.0,97280.0
Ngei,bungalow,121600.0,115520.0
Njiru,studio,22500.0,21375.0
Njiru,one bedroom,30000.0,28500.0
Njiru,two bedroom,43500.0,41325.0
Njiru,three bedroom,63000.0,59850.0
Njiru,townhouse,96000.0,91200.0
Njiru,bungalow,114000.0,108300.0
Nyayo Highrise,studio,24000.0,22800.0
Nyayo Highrise,one bedroom,32000.0,30400.0
Nyayo Highrise,two bedroom,46400.0,44080.0
Nyayo Highrise,three bedroom,67200.0,63840.0
Nyayo Highrise,townhouse,102400.0,97280.0
Nyayo Highrise,bungalow,121600.0,115520.0
Pangani,studio,24000.0,22800.0
Pangani,one bedroom,32000.0,30400.0
Pangani,two bedroom,46400.0,44080.0
Pangani,three bedroom,67200.0,63840.0
Pangani,townhouse,102400.0,97280.0
Pangani,bungalow,121600.0,115520.0
Parklands/Highridge,studio,50400.0,47880.0
Parklands/Highridge,one bedroom,67200.0,63840.0
Parklands/Highridge,two bedroom,97440.0,92568.0
Parklands/Highridge,three bedroom,141120.0,134064.0
Parklands/Highridge,townhouse,215040.0,204288.0
Parklands/Highridge,bungalow,255360.0,242592.0
Pipeline,studio,23250.0,22088.0
Pipeline,one bedroom,31000.0,29450.0
Pipeline,two bedroom,44950.0,42702.0
Pipeline,three bedroom,65100.0,61845.0
Pipeline,townhouse,99200.0,94240.0
Pipeline,bungalow,117800.0,111910.0
Pumwani,studio,24000.0,22800.0
Pumwani,one bedroom,32000.0,30400.0
Pumwani,two bedroom,46400.0,44080.0
Pumwani,three bedroom,67200.0,63840.0
Pumwani,townhouse,102400.0,97280.0
Pumwani,bungalow,121600.0,115520.0
Riruta,studio,24000.0,22800.0
Riruta,one bedroom,32000.0,30400.0
Riruta,two bedroom,46400.0,44080.0
Riruta,three bedroom,67200.0,63840.0
Riruta,townhouse,102400.0,97280.0
Riruta,bungalow,121600.0,115520.0
Roysambu,studio,27000.0,25650.0
Roysambu,one bedroom,36000.0,34200.0
Roysambu,two bedroom,52200.0,49590.0
Roysambu,three bedroom,75600.0,71820.0
Roysambu,townhouse,115200.0,109440.0
Roysambu,bungalow,136800.0,129960.0
Ruai,studio,22500.0,21375.0
Ruai,one bedroom,30000.0,28500.0
Ruai,two bedroom,43500.0,41325.0
Ruai,three bedroom,63000.0,59850.0
Ruai,townhouse,96000.0,91200.0
Ruai,bungalow,114000.0,108300.0
Sarangombe,studio,24000.0,22800.0
Sarangombe,one bedroom,32000.0,30400.0
Sarangombe,two bedroom,46400.0,44080.0
Sarangombe,three bedroom,67200.0,63840.0
Sarangombe,townhouse,102400.0,97280.0
Sarangombe,bungalow,121600.0,115520.0
South-C,studio,24000.0,22800.0
South-C,one bedroom,32000.0,30400.0
South-C,two bedroom,46400.0,44080.0
South-C,three bedroom,67200.0,63840.0
South-C,townhouse,102400.0,97280.0
South-C,bungalow,121600.0,115520.0
Umoja I,studio,24750.0,23512.0
Umoja I,one bedroom,33000.0,31350.0
Umoja I,two bedroom,47850.0,45458.0
Umoja I,three bedroom,69300.0,65835.0
Umoja I,townhouse,105600.0,100320.0
Umoja I,bungalow,125400.0,119130.0
Umoja II,studio,24375.0,23156.0
Umoja II,one bedroom,32500.0,30875.0
Umoja II,two bedroom,47125.0,44769.0
Umoja II,three bedroom,68250.0,64838.0
Umoja II,townhouse,104000.0,98800.0
Umoja II,bungalow,123500.0,117325.0
Upper Savannah,studio,24000.0,22800.0
Upper Savannah,one bedroom,32000.0,30400.0
Upper Savannah,two bedroom,46400.0,44080.0
Upper Savannah,three bedroom,67200.0,63840.0
Upper Savannah,townhouse,102400.0,97280.0
Upper Savannah,bungalow,121600.0,115520.0
Utalii,studio,24000.0,22800.0
Utalii,one bedroom,32000.0,30400.0
Utalii,two bedroom,46400.0,44080.0
Utalii,three bedroom,67200.0,63840.0
Utalii,townhouse,102400.0,97280.0
Utalii,bungalow,121600.0,115520.0
Utawala,studio,25500.0,24225.0
Utawala,one bedroom,34000.0,32300.0
Utawala,two bedroom,49300.0,46835.0
Utawala,three bedroom,71400.0,67830.0
Utawala,townhouse,108800.0,103360.0
Utawala,bungalow,129200.0,122740.0
Uthiru/Ruthimitu,studio,24000.0,22800.0
Uthiru/Ruthimitu,one bedroom,32000.0,30400.0
Uthiru/Ruthimitu,two bedroom,46400.0,44080.0
Uthiru/Ruthimitu,three bedroom,67200.0,63840.0
Uthiru/Ruthimitu,townhouse,102400.0,97280.0
Uthiru/Ruthimitu,bungalow,121600.0,115520.0
Viwandani,studio,24000.0,22800.0
Viwandani,one bedroom,32000.0,30400.0
Viwandani,two bedroom,46400.0,44080.0
Viwandani,three bedroom,67200.0,63840.0
Viwandani,townhouse,102400.0,97280.0
Viwandani,bungalow,121600.0,115520.0
Waithaka,studio,24000.0,22800.0
Waithaka,one bedroom,32000.0,30400.0
Waithaka,two bedroom,46400.0,44080.0
Waithaka,three bedroom,67200.0,63840.0
Waithaka,townhouse,102400.0,97280.0
Waithaka,bungalow,121600.0,115520.0
Woodley/Kenyatta Golf,studio,24000.0,22800.0
Woodley/Kenyatta Golf,one bedroom,32000.0,30400.0
Woodley/Kenyatta Golf,two bedroom,46400.0,44080.0
Woodley/Kenyatta Golf,three bedroom,67200.0,63840.0
Woodley/Kenyatta Golf,townhouse,102400.0,97280.0
Woodley/Kenyatta Golf,bungalow,121600.0,115520.0
Zimmerman,studio,25500.0,24225.0
Zimmerman,one bedroom,34000.0,32300.0
Zimmerman,two bedroom,49300.0,46835.0
Zimmerman,three bedroom,71400.0,67830.0
Zimmerman,townhouse,108800.0,103360.0
Zimmerman,bungalow,129200.0,122740.0
Ziwani/Kariokor,studio,24000.0,22800.0
Ziwani/Kariokor,one bedroom,32000.0,30400.0
Ziwani/Kariokor,two bedroom,46400.0,44080.0
Ziwani/Kariokor,three bedroom,67200.0,63840.0
Ziwani/Kariokor,townhouse,102400.0,97280.0
Ziwani/Kariokor,bungalow,121600.0,115520.0
