ward,typology,avg_rent_ksh,median_rent_ksh
Eastleigh North Ward,two bedroom,60900.0,57855.0
Eastleigh North Ward,three bedroom,88200.0,83790.0
Eastleigh North Ward,townhouse,134400.0,127680.0
Eastleigh North Ward,bungalow,159600.0,151620.0
Eastleigh South Ward,studio,30750.0,29212.0
Eastleigh South Ward,one bedroom,41000.0,38950.0
Eastleigh South Ward,two bedroom,59450.0,56478.0
Eastleigh South Ward,three bedroom,86100.0,81795.0
Eastleigh South Ward,townhouse,131200.0,124640.0
Eastleigh South Ward,bungalow,155800.0,148010.0
Embaki Ward,studio,24000.0,22800.0
Embaki Ward,one bedroom,32000.0,30400.0
Embaki Ward,two bedroom,46400.0,44080.0
Embaki Ward,three bedroom,67200.0,63840.0
Embaki Ward,townhouse,102400.0,97280.0
Embaki Ward,bungalow,121600.0,115520.0
Gatina Ward,studio,24000.0,22800.0
Gatina Ward,one bedroom,32000.0,30400.0
Gatina Ward,two bedroom,46400.0,44080.0
Gatina Ward,three bedroom,67200.0,63840.0
Gatina Ward,townhouse,102400.0,97280.0
Gatina Ward,bungalow,121600.0,115520.0
Githurai Ward,studio,24000.0,22800.0
Githurai Ward,one bedroom,32000.0,30400.0
Githurai Ward,two bedroom,46400.0,44080.0
Githurai Ward,three bedroom,67200.0,63840.0
Githurai Ward,townhouse,102400.0,97280.0
Githurai Ward,bungalow,121600.0,115520.0
Harambee Ward,studio,24000.0,22800.0
Harambee Ward,one bedroom,32000.0,30400.0
Harambee Ward,two bedroom,46400.0,44080.0
Harambee Ward,three bedroom,67200.0,63840.0
Harambee Ward,townhouse,102400.0,97280.0
Harambee Ward,bungalow,121600.0,115520.0
Hospital Ward,studio,13200.0,12540.0
Hospital Ward,one bedroom,17600.0,16720.0
Hospital Ward,two bedroom,25520.0,24244.0
Hospital Ward,three bedroom,36960.0,35112.0
Hospital Ward,townhouse,56320.0,53504.0
Hospital Ward,bungalow,66880.0,63536.0
Huruma Ward,studio,24000.0,22800.0
Huruma Ward,one bedroom,32000.0,30400.0
Huruma Ward,two bedroom,46400.0,44080.0
Huruma Ward,three bedroom,67200.0,63840.0
Huruma Ward,townhouse,102400.0,97280.0
Huruma Ward,bungalow,121600.0,115520.0
Imara Daima Ward,studio,29250.0,27788.0
Imara Daima Ward,one bedroom,39000.0,37050.0
Imara Daima Ward,two bedroom,56550.0,53722.0
Imara Daima Ward,three bedroom,81900.0,77805.0
Imara Daima Ward,townhouse,124800.0,118560.0
Imara Daima Ward,bungalow,148200.0,140790.0
Kabiro Ward,studio,24000.0,22800.0
Kabiro Ward,one bedroom,32000.0,30400.0
Kabiro Ward,two bedroom,46400.0,44080.0
Kabiro Ward,three bedroom,67200.0,63840.0
Kabiro Ward,townhouse,102400.0,97280.0
Kabiro Ward,bungalow,121600.0,115520.0
Kahawa Ward,studio,24000.0,22800.0
Kahawa Ward,one bedroom,32000.0,30400.0
Kahawa Ward,two bedroom,46400.0,44080.0
Kahawa Ward,three bedroom,67200.0,63840.0
Kahawa Ward,townhouse,102400.0,97280.0
Kahawa Ward,bungalow,121600.0,115520.0
Kahawa West Ward,studio,26250.0,24938.0
Kahawa West Ward,one bedroom,35000.0,33250.0
Kahawa West Ward,two bedroom,50750.0,48212.0
Kahawa West Ward,three bedroom,73500.0,69825.0
Kahawa West Ward,townhouse,112000.0,106400.0
Kahawa West Ward,bungalow,133000.0,126350.0
Kangemi Ward,studio,24000.0,22800.0
Kangemi Ward,one bedroom,32000.0,30400.0
Kangemi Ward,two bedroom,46400.0,44080.0
Kangemi Ward,three bedroom,67200.0,63840.0
Kangemi Ward,townhouse,102400.0,97280.0
Kangemi Ward,bungalow,121600.0,115520.0
Karen Ward,studio,62400.0,59280.0
Karen Ward,one bedroom,83200.0,79040.0
Karen Ward,two bedroom,120640.0,114608.0
Karen Ward,three bedroom,174720.0,165984.0
Karen Ward,townhouse,266240.0,252928.0
Karen Ward,bungalow,316160.0,300352.0
Kariobangi North Ward,studio,24000.0,22800.0
Kariobangi North Ward,one bedroom,32000.0,30400.0
Kariobangi North Ward,two bedroom,46400.0,44080.0
Kariobangi North Ward,three bedroom,67200.0,63840.0
Kariobangi North Ward,townhouse,102400.0,97280.0
Kariobangi North Ward,bungalow,121600.0,115520.0
Kariobangi South Ward,studio,24000.0,22800.0
Kariobangi South Ward,one bedroom,32000.0,30400.0
Kariobangi South Ward,two bedroom,46400.0,44080.0
Kariobangi South Ward,three bedroom,67200.0,63840.0
Kariobangi South Ward,townhouse,102400.0,97280.0
Kariobangi South Ward,bungalow,121600.0,115520.0
Karura Ward,studio,54375.0,51656.0
Karura Ward,one bedroom,72500.0,68875.0
Karura Ward,two bedroom,105125.0,99869.0
Karura Ward,three bedroom,152250.0,144638.0
Karura Ward,townhouse,232000.0,220400.0
Karura Ward,bungalow,275500.0,261725.0
Kasarani Ward,studio,24750.0,23512.0
Kasarani Ward,one bedroom,33000.0,31350.0
Kasarani Ward,two bedroom,47850.0,45458.0
Kasarani Ward,three bedroom,69300.0,65835.0
Kasarani Ward,townhouse,105600.0,100320.0
Kasarani Ward,bungalow,125400.0,119130.0
Kawangware Ward,studio,24000.0,22800.0
Kawangware Ward,one bedroom,32000.0,30400.0
Kawangware Ward,two bedroom,46400.0,44080.0
Kawangware Ward,three bedroom,67200.0,63840.0
Kawangware Ward,townhouse,102400.0,97280.0
Kawangware Ward,bungalow,121600.0,115520.0
Kayole Central Ward,studio,24000.0,22800.0
Kayole Central Ward,one bedroom,32000.0,30400.0
Kayole Central Ward,two bedroom,46400.0,44080.0
Kayole Central Ward,three bedroom,67200.0,63840.0
Kayole Central Ward,townhouse,102400.0,97280.0
Kayole Central Ward,bungalow,121600.0,115520.0
Kayole North Ward,studio,24000.0,22800.0
Kayole North Ward,one bedroom,32000.0,30400.0
Kayole North Ward,two bedroom,46400.0,44080.0
Kayole North Ward,three bedroom,67200.0,63840.0
Kayole North Ward,townhouse,102400.0,97280.0
Kayole North Ward,bungalow,121600.0,115520.0
Kayole South Ward,studio,24000.0,22800.0
Kayole South Ward,one bedroom,32000.0,30400.0
Kayole South Ward,two bedroom,46400.0,44080.0
Kayole South Ward,three bedroom,67200.0,63840.0
Kayole South Ward,townhouse,102400.0,97280.0
Kayole South Ward,bungalow,121600.0,115520.0
Kiamaiko Ward,studio,24000.0,22800.0
Kiamaiko Ward,one bedroom,32000.0,30400.0
Kiamaiko Ward,two bedroom,46400.0,44080.0
Kiamaiko Ward,three bedroom,67200.0,63840.0
Kiamaiko Ward,townhouse,102400.0,97280.0
Kiamaiko Ward,bungalow,121600.0,115520.0
Kileleshwa Ward,studio,51300.0,48735.0
Kileleshwa Ward,one bedroom,68400.0,64980.0
Kileleshwa Ward,two bedroom,99180.0,94221.0
Kileleshwa Ward,three bedroom,143640.0,136458.0
Kileleshwa Ward,townhouse,218880.0,207936.0
Kileleshwa Ward,bungalow,259920.0,246924.0
Kilimani Ward,studio,56250.0,53438.0
Kilimani Ward,one bedroom,75000.0,71250.0
Kilimani Ward,two bedroom,108750.0,103312.0
Kilimani Ward,three bedroom,157500.0,149625.0
Kilimani Ward,townhouse,240000.0,228000.0
Kilimani Ward,bungalow,285000.0,270750.0
Kitisuru Ward,studio,62775.0,59636.0
Kitisuru Ward,one bedroom,83700.0,79515.0
Kitisuru Ward,two bedroom,121365.0,115297.0
Kitisuru Ward,three bedroom,175770.0,166982.0
Kitisuru Ward,townhouse,267840.0,254448.0
Kitisuru Ward,bungalow,318060.0,302157.0
Komarock Ward,studio,24000.0,22800.0
Komarock Ward,one bedroom,32000.0,30400.0
Komarock Ward,two bedroom,46400.0,44080.0
Komarock Ward,three bedroom,67200.0,63840.0
Komarock Ward,townhouse,102400.0,97280.0
Komarock Ward,bungalow,121600.0,115520.0
Korogocho Ward,studio,14145.0,13438.0
Korogocho Ward,one bedroom,18860.0,17917.0
Korogocho Ward,two bedroom,27347.0,25980.0
Korogocho Ward,three bedroom,39606.0,37626.0
Korogocho Ward,townhouse,60352.0,57334.0
Korogocho Ward,bungalow,71668.0,68085.0
Kwa Njenga Ward,studio,24000.0,22800.0
Kwa Njenga Ward,one bedroom,32000.0,30400.0
Kwa Njenga Ward,two bedroom,46400.0,44080.0
Kwa Njenga Ward,three bedroom,67200.0,63840.0
Kwa Njenga Ward,townhouse,102400.0,97280.0
Kwa Njenga Ward,bungalow,121600.0,115520.0
Kwa Reuben Ward,studio,24000.0,22800.0
Kwa Reuben Ward,one bedroom,32000.0,30400.0
Kwa Reuben Ward,two bedroom,46400.0,44080.0
Kwa Reuben Ward,three bedroom,67200.0,63840.0
Kwa Reuben Ward,townhouse,102400.0,97280.0
Kwa Reuben Ward,bungalow,121600.0,115520.0
Kware Ward,studio,24000.0,22800.0
Kware Ward,one bedroom,32000.0,30400.0
Kware Ward,two bedroom,46400.0,44080.0
Kware Ward,three bedroom,67200.0,63840.0
Kware Ward,townhouse,102400.0,97280.0
Kware Ward,bungalow,121600.0,115520.0
Laini Saba Ward,studio,24000.0,22800.0
Laini Saba Ward,one bedroom,32000.0,30400.0
Laini Saba Ward,two bedroom,46400.0,44080.0
Laini Saba Ward,three bedroom,67200.0,63840.0
Laini Saba Ward,townhouse,102400.0,97280.0
Laini Saba Ward,bungalow,121600.0,115520.0
Landimawe Ward,studio,24000.0,22800.0
Landimawe Ward,one bedroom,32000.0,30400.0
Landimawe Ward,two bedroom,46400.0,44080.0
Landimawe Ward,three bedroom,67200.0,63840.0
Landimawe Ward,townhouse,102400.0,97280.0
Landimawe Ward,bungalow,121600.0,115520.0
Lindi Ward,studio,24000.0,22800.0
Lindi Ward,one bedroom,32000.0,30400.0
Lindi Ward,two bedroom,46400.0,44080.0
Lindi Ward,three bedroom,67200.0,63840.0
Lindi Ward,townhouse,102400.0,97280.0
Lindi Ward,bungalow,121600.0,115520.0
Lower Savannah Ward,studio,24000.0,22800.0
Lower Savannah Ward,one bedroom,32000.0,30400.0
Lower Savannah Ward,two bedroom,46400.0,44080.0
Lower Savannah Ward,three bedroom,67200.0,63840.0
Lower Savannah Ward,townhouse,102400.0,97280.0
Lower Savannah Ward,bungalow,121600.0,115520.0
Lucky Summer Ward,studio,24000.0,22800.0
Lucky Summer Ward,one bedroom,32000.0,30400.0
Lucky Summer Ward,two bedroom,46400.0,44080.0
Lucky Summer Ward,three bedroom,67200.0,63840.0
Lucky Summer Ward,townhouse,102400.0,97280.0
Lucky Summer Ward,bungalow,121600.0,115520.0
Mabatini Ward,studio,13200.0,12540.0
Mabatini Ward,one bedroom,17600.0,16720.0
Mabatini Ward,two bedroom,25520.0,24244.0
Mabatini Ward,three bedroom,36960.0,35112.0
Mabatini Ward,townhouse,56320.0,53504.0
Mabatini Ward,bungalow,66880.0,63536.0
Makina Ward,studio,24000.0,22800.0
Makina Ward,one bedroom,32000.0,30400.0
Makina Ward,two bedroom,46400.0,44080.0
Makina Ward,three bedroom,67200.0,63840.0
Makina Ward,townhouse,102400.0,97280.0
Makina Ward,bungalow,121600.0,115520.0
Makongeni Ward,studio,24000.0,22800.0
Makongeni Ward,one bedroom,32000.0,30400.0
Makongeni Ward,two bedroom,46400.0,44080.0
Makongeni Ward,three bedroom,67200.0,63840.0
Makongeni Ward,townhouse,102400.0,97280.0
Makongeni Ward,bungalow,121600.0,115520.0
Maringo/Hamza Ward,studio,24000.0,22800.0
Maringo/Hamza Ward,one bedroom,32000.0,30400.0
Maringo/Hamza Ward,two bedroom,46400.0,44080.0
Maringo/Hamza Ward,three bedroom,67200.0,63840.0
Maringo/Hamza Ward,townhouse,102400.0,97280.0
Maringo/Hamza Ward,bungalow,121600.0,115520.0
Mathare North Ward,studio,24000.0,22800.0
Mathare North Ward,one bedroom,32000.0,30400.0
Mathare North Ward,two bedroom,46400.0,44080.0
Mathare North Ward,three bedroom,67200.0,63840.0
Mathare North Ward,townhouse,102400.0,97280.0
Mathare North Ward,bungalow,121600.0,115520.0
Matopeni/Spring Valley Ward,studio,24000.0,22800.0
Matopeni/Spring Valley Ward,one bedroom,32000.0,30400.0
Matopeni/Spring Valley Ward,two bedroom,46400.0,44080.0
Matopeni/Spring Valley Ward,three bedroom,67200.0,63840.0
Matopeni/Spring Valley Ward,townhouse,102400.0,97280.0
Matopeni/Spring Valley Ward,bungalow,121600.0,115520.0
Mihango Ward,studio,24000.0,22800.0
Mihango Ward,one bedroom,32000.0,30400.0
Mihango Ward,two bedroom,46400.0,44080.0
Mihango Ward,three bedroom,67200.0,63840.0
Mihango Ward,townhouse,102400.0,97280.0
Mihango Ward,bungalow,121600.0,115520.0
Mlango Kubwa Ward,studio,24000.0,22800.0
Mlango Kubwa Ward,one bedroom,32000.0,30400.0
Mlango Kubwa Ward,two bedroom,46400.0,44080.0
Mlango Kubwa Ward,three bedroom,67200.0,63840.0
Mlango Kubwa Ward,townhouse,102400.0,97280.0
Mlango Kubwa Ward,bungalow,121600.0,115520.0
Mountain View Ward,studio,24000.0,22800.0
Mountain View Ward,one bedroom,32000.0,30400.0
Mountain View Ward,two bedroom,46400.0,44080.0
Mountain View Ward,three bedroom,67200.0,63840.0
Mountain View Ward,townhouse,102400.0,97280.0
Mountain View Ward,bungalow,121600.0,115520.0
Mowlem Ward,studio,22500.0,21375.0
Mowlem Ward,one bedroom,30000.0,28500.0
Mowlem Ward,two bedroom,43500.0,41325.0
Mowlem Ward,three bedroom,63000.0,59850.0
Mowlem Ward,townhouse,96000.0,91200.0
Mowlem Ward,bungalow,114000.0,108300.0
Mugumoini Ward,studio,24000.0,22800.0
Mugumoini Ward,one bedroom,32000.0,30400.0
Mugumoini Ward,two bedroom,46400.0,44080.0
Mugumoini Ward,three bedroom,67200.0,63840.0
Mugumoini Ward,townhouse,102400.0,97280.0
Mugumoini Ward,bungalow,121600.0,115520.0
Mutuini Ward,studio,24000.0,22800.0
Mutuini Ward,one bedroom,32000.0,30400.0
Mutuini Ward,two bedroom,46400.0,44080.0
Mutuini Ward,three bedroom,67200.0,63840.0
Mutuini Ward,townhouse,102400.0,97280.0
Mutuini Ward,bungalow,121600.0,115520.0
Mwiki Ward,studio,24000.0,22800.0
Mwiki Ward,one bedroom,32000.0,30400.0
Mwiki Ward,two bedroom,46400.0,44080.0
Mwiki Ward,three bedroom,67200.0,63840.0
Mwiki Ward,townhouse,102400.0,97280.0
Mwiki Ward,bungalow,121600.0,115520.0
Nairobi Central Ward,studio,44850.0,42607.0
Nairobi Central Ward,one bedroom,59800.0,56810.0
Nairobi Central Ward,two bedroom,86710.0,82374.0
Nairobi Central Ward,three bedroom,125580.0,119301.0
Nairobi Central Ward,townhouse,191360.0,181792.0
Nairobi Central Ward,bungalow,227240.0,215878.0
Nairobi South Ward,studio,33750.0,32062.0
Nairobi South Ward,one bedroom,45000.0,42750.0
Nairobi South Ward,two bedroom,65250.0,61988.0
Nairobi South Ward,three bedroom,94500.0,89775.0
Nairobi South Ward,townhouse,144000.0,136800.0
Nairobi South Ward,bungalow,171000.0,162450.0
Nairobi West Ward,studio,32250.0,30638.0
Nairobi West Ward,one bedroom,43000.0,40850.0
Nairobi West Ward,two bedroom,62350.0,59232.0
Nairobi West Ward,three bedroom,90300.0,85785.0
Nairobi West Ward,townhouse,137600.0,130720.0
Nairobi West Ward,bungalow,163400.0,155230.0
Ngando Ward,studio,24000.0,22800.0
Ngando Ward,one bedroom,32000.0,30400.0
Ngando Ward,two bedroom,46400.0,44080.0
Ngando Ward,three bedroom,67200.0,63840.0
Ngando Ward,townhouse,102400.0,97280.0
Ngando Ward,bungalow,121600.0,115520.0
Ngara Ward,studio,33000.0,31350.0
Ngara Ward,one bedroom,44000.0,41800.0
Ngara Ward,two bedroom,63800.0,60610.0
Ngara Ward,three bedroom,92400.0,87780.0
Ngara Ward,townhouse,140800.0,133760.0
Ngara Ward,bungalow,167200.0,158840.0
Ngei Ward,studio,24000.0,22800.0
Ngei Ward,one bedroom,32000.0,30400.0
Ngei Ward,two bedroom,46400.0,44080.0
Ngei Ward,three bedroom,67200.0,63840.0
Ngei Ward,townhouse,102400.0,97280.0
Ngei Ward,bungalow,121600.0,115520.0
Njiru Ward,studio,22500.0,21375.0
Njiru Ward,one bedroom,30000.0,28500.0
Njiru Ward,two bedroom,43500.0,41325.0
Njiru Ward,three bedroom,63000.0,59850.0
Njiru Ward,townhouse,96000.0,91200.0
Njiru Ward,bungalow,114000.0,108300.0
Nyayo Highrise Ward,studio,24000.0,22800.0
Nyayo Highrise Ward,one bedroom,32000.0,30400.0
Nyayo Highrise Ward,two bedroom,46400.0,44080.0
Nyayo Highrise Ward,three bedroom,67200.0,63840.0
Nyayo Highrise Ward,townhouse,102400.0,97280.0
Nyayo Highrise Ward,bungalow,121600.0,115520.0
Pangani Ward,studio,24000.0,22800.0
Pangani Ward,one bedroom,32000.0,30400.0
Pangani Ward,two bedroom,46400.0,44080.0
Pangani Ward,three bedroom,67200.0,63840.0
Pangani Ward,townhouse,102400.0,97280.0
Pangani Ward,bungalow,121600.0,115520.0
Parklands/Highridge Ward,studio,50400.0,47880.0
Parklands/Highridge Ward,one bedroom,67200.0,63840.0
Parklands/Highridge Ward,two bedroom,97440.0,92568.0
Parklands/Highridge Ward,three bedroom,141120.0,134064.0
Parklands/Highridge Ward,townhouse,215040.0,204288.0
Parklands/Highridge Ward,bungalow,255360.0,242592.0
Pipeline Ward,studio,23250.0,22088.0
Pipeline Ward,one bedroom,31000.0,29450.0
Pipeline Ward,two bedroom,44950.0,42702.0
Pipeline Ward,three bedroom,65100.0,61845.0
Pipeline Ward,townhouse,99200.0,94240.0
Pipeline Ward,bungalow,117800.0,111910.0
Pumwani Ward,studio,24000.0,22800.0
Pumwani Ward,one bedroom,32000.0,30400.0
Pumwani Ward,two bedroom,46400.0,44080.0
Pumwani Ward,three bedroom,67200.0,63840.0
Pumwani Ward,townhouse,102400.0,97280.0
Pumwani Ward,bungalow,121600.0,115520.0
Riruta Ward,studio,24000.0,22800.0
Riruta Ward,one bedroom,32000.0,30400.0
Riruta Ward,two bedroom,46400.0,44080.0
Riruta Ward,three bedroom,67200.0,63840.0
Riruta Ward,townhouse,102400.0,97280.0
Riruta Ward,bungalow,121600.0,115520.0
Roysambu Ward,studio,27000.0,25650.0
Roysambu Ward,one bedroom,36000.0,34200.0
Roysambu Ward,two bedroom,52200.0,49590.0
Roysambu Ward,three bedroom,75600.0,71820.0
Roysambu Ward,townhouse,115200.0,109440.0
Roysambu Ward,bungalow,136800.0,129960.0
Ruai Ward,studio,22500.0,21375.0
Ruai Ward,one bedroom,30000.0,28500.0
Ruai Ward,two bedroom,43500.0,41325.0
Ruai Ward,three bedroom,63000.0,59850.0
Ruai Ward,townhouse,96000.0,91200.0
Ruai Ward,bungalow,114000.0,108300.0
Sarang’ombe Ward,studio,24000.0,22800.0
Sarang’ombe Ward,one bedroom,32000.0,30400.0
Sarang’ombe Ward,two bedroom,46400.0,44080.0
Sarang’ombe Ward,three bedroom,67200.0,63840.0
Sarang’ombe Ward,townhouse,102400.0,97280.0
Sarang’ombe Ward,bungalow,121600.0,115520.0
South B Ward,studio,30000.0,28500.0
South B Ward,one bedroom,40000.0,38000.0
South B Ward,two bedroom,58000.0,55100.0
South B Ward,three bedroom,84000.0,79800.0
South B Ward,townhouse,128000.0,121600.0
South B Ward,bungalow,152000.0,144400.0
South C Ward,studio,34500.0,32775.0
South C Ward,one bedroom,46000.0,43700.0
South C Ward,two bedroom,66700.0,63365.0
South C Ward,three bedroom,96600.0,91770.0
South C Ward,townhouse,147200.0,139840.0
South C Ward,bungalow,174800.0,166060.0
Umoja I Ward,studio,24750.0,23512.0
Umoja I Ward,one bedroom,33000.0,31350.0
Umoja I Ward,two bedroom,47850.0,45458.0
Umoja I Ward,three bedroom,69300.0,65835.0
Umoja I Ward,townhouse,105600.0,100320.0
Umoja I Ward,bungalow,125400.0,119130.0
Umoja II Ward,studio,24375.0,23156.0
Umoja II Ward,one bedroom,32500.0,30875.0
Umoja II Ward,two bedroom,47125.0,44769.0
Umoja II Ward,three bedroom,68250.0,64838.0
Umoja II Ward,townhouse,104000.0,98800.0
Umoja II Ward,bungalow,123500.0,117325.0
Upper Savannah Ward,studio,24000.0,22800.0
Upper Savannah Ward,one bedroom,32000.0,30400.0
Upper Savannah Ward,two bedroom,46400.0,44080.0
Upper Savannah Ward,three bedroom,67200.0,63840.0
Upper Savannah Ward,townhouse,102400.0,97280.0
Upper Savannah Ward,bungalow,121600.0,115520.0
Utalii Ward,studio,24000.0,22800.0
Utalii Ward,one bedroom,32000.0,30400.0
Utalii Ward,two bedroom,46400.0,44080.0
Utalii Ward,three bedroom,67200.0,63840.0
Utalii Ward,townhouse,102400.0,97280.0
Utalii Ward,bungalow,121600.0,115520.0
Utawala Ward,studio,25500.0,24225.0
Utawala Ward,one bedroom,34000.0,32300.0
Utawala Ward,two bedroom,49300.0,46835.0
Utawala Ward,three bedroom,71400.0,67830.0
Utawala Ward,townhouse,108800.0,103360.0
Utawala Ward,bungalow,129200.0,122740.0
Uthiru/Ruthimitu Ward,studio,24000.0,22800.0
Uthiru/Ruthimitu Ward,one bedroom,32000.0,30400.0
Uthiru/Ruthimitu Ward,two bedroom,46400.0,44080.0
Uthiru/Ruthimitu Ward,three bedroom,67200.0,63840.0
Uthiru/Ruthimitu Ward,townhouse,102400.0,97280.0
Uthiru/Ruthimitu Ward,bungalow,121600.0,115520.0
Viwandani Ward,studio,24000.0,22800.0
Viwandani Ward,one bedroom,32000.0,30400.0
Viwandani Ward,two bedroom,46400.0,44080.0
Viwandani Ward,three bedroom,67200.0,63840.0
Viwandani Ward,townhouse,102400.0,97280.0
Viwandani Ward,bungalow,121600.0,115520.0
Waithaka Ward,studio,24000.0,22800.0
Waithaka Ward,one bedroom,32000.0,30400.0
Waithaka Ward,two bedroom,46400.0,44080.0
Waithaka Ward,three bedroom,67200.0,63840.0
Waithaka Ward,townhouse,102400.0,97280.0
Waithaka Ward,bungalow,121600.0,115520.0
Woodley/Kenyatta Golf Course Ward,studio,24000.0,22800.0
Woodley/Kenyatta Golf Course Ward,one bedroom,32000.0,30400.0
Woodley/Kenyatta Golf Course Ward,two bedroom,46400.0,44080.0
Woodley/Kenyatta Golf Course Ward,three bedroom,67200.0,63840.0
Woodley/Kenyatta Golf Course Ward,townhouse,102400.0,97280.0
Woodley/Kenyatta Golf Course Ward,bungalow,121600.0,115520.0
Zimmerman Ward,studio,25500.0,24225.0
Zimmerman Ward,one bedroom,34000.0,32300.0
Zimmerman Ward,two bedroom,49300.0,46835.0
Zimmerman Ward,three bedroom,71400.0,67830.0
Zimmerman Ward,townhouse,108800.0,103360.0
Zimmerman Ward,bungalow,129200.0,122740.0
Ziwani/Kariokor Ward,studio,24000.0,22800.0
Ziwani/Kariokor Ward,one bedroom,32000.0,30400.0
Ziwani/Kariokor Ward,two bedroom,46400.0,44080.0
Ziwani/Kariokor Ward,three bedroom,67200.0,63840.0
Ziwani/Kariokor Ward,townhouse,102400.0,97280.0
Ziwani/Kariokor Ward,bungalow,121600.0,115520.0
