ward,bungalow,one bedroom,studio,three bedroom,townhouse,two bedroom
Mabatini,75810.0,19950.0,14962.0,41895.0,63840.0,28928.0
Makina,54150.0,14250.0,10688.0,29925.0,45600.0,20662.0
Makongeni,140600.0,37000.0,27750.0,77700.0,118400.0,53650.0
Maringo/Hamza,140600.0,37000.0,27750.0,77700.0,118400.0,53650.0
Mathare North,72200.0,19000.0,14250.0,39900.0,60800.0,27550.0
Matopeni,95000.0,25000.0,18750.0,52500.0,80000.0,36250.0
Mihango,102600.0,27000.0,20250.0,56700.0,86400.0,39150.0
Mlango Kubwa,83600.0,22000.0,16500.0,46200.0,70400.0,31900.0
Mountain View,144400.0,38000.0,28500.0,79800.0,121600.0,55100.0
Mowlem,106400.0,28000.0,21000.0,58800.0,89600.0,40600.0
Mugumo-Ini,76000.0,20000.0,15000.0,42000.0,64000.0,29000.0
Mutuini,79800.0,21000.0,15750.0,44100.0,67200.0,30450.0
Mwiki,98800.0,26000.0,19500.0,54600.0,83200.0,37700.0
Nairobi Central,197600.0,52000.0,39000.0,109200.0,166400.0,75400.0
Nairobi South,163400.0,43000.0,32250.0,90300.0,137600.0,62350.0
Nairobi West,167200.0,44000.0,33000.0,92400.0,140800.0,63800.0
Ngando,83600.0,22000.0,16500.0,46200.0,70400.0,31900.0
Ngara,163400.0,43000.0,32250.0,90300.0,137600.0,62350.0
Ngei,83600.0,22000.0,16500.0,46200.0,70400.0,31900.0
Njiru,98800.0,26000.0,19500.0,54600.0,83200.0,37700.0
Nyayo Highrise,98800.0,26000.0,19500.0,54600.0,83200.0,37700.0
Pangani,159600.0,42000.0,31500.0,88200.0,134400.0,60900.0
Parklands/Highridge,227430.0,59850.0,44888.0,125685.0,191520.0,86782.0
Pipeline,110200.0,29000.0,21750.0,60900.0,92800.0,42050.0
Pumwani,106400.0,28000.0,21000.0,58800.0,89600.0,40600.0
Riruta,95000.0,25000.0,18750.0,52500.0,80000.0,36250.0
Roysambu,133000.0,35000.0,26250.0,73500.0,112000.0,50750.0
Ruai,98800.0,26000.0,19500.0,54600.0,83200.0,37700.0
Sarangombe,64600.0,17000.0,12750.0,35700.0,54400.0,24650.0
South-C,174800.0,46000.0,34500.0,96600.0,147200.0,66700.0
Umoja I,121600.0,32000.0,24000.0,67200.0,102400.0,46400.0
Umoja II,117800.0,31000.0,23250.0,65100.0,99200.0,44950.0
Upper Savannah,98800.0,26000.0,19500.0,54600.0,83200.0,37700.0
Utalii,117800.0,31000.0,23250.0,65100.0,99200.0,44950.0
Utawala,125400.0,33000.0,24750.0,69300.0,105600.0,47850.0
Uthiru/Ruthimitu,91200.0,24000.0,18000.0,50400.0,76800.0,34800.0
Viwandani,106400.0,28000.0,21000.0,58800.0,89600.0,40600.0
Waithaka,83600.0,22000.0,16500.0,46200.0,70400.0,31900.0
Woodley/Kenyatta Golf,190000.0,50000.0,37500.0,105000.0,160000.0,72500.0
Zimmerman,125400.0,33000.0,24750.0,69300.0,105600.0,47850.0
Ziwani/Kariokor,144400.0,38000.0,28500.0,79800.0,121600.0,55100.0
